"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"497",19,"Driving Jump shot",2,2
"498",19,"Fadeaway Bank shot",1,0
"499",19,"Fadeaway Jump Shot",83,43
"500",19,"Floating Jump shot",5,2
"501",19,"Jump Bank Shot",21,19
"502",19,"Jump Shot",5237,1932
"503",19,"Pullup Bank shot",2,1
"504",19,"Pullup Jump shot",635,365
"505",19,"Running Jump Shot",12,9
"506",19,"Step Back Jump shot",256,123
"507",19,"Turnaround Fadeaway shot",16,8
"508",19,"Turnaround Jump Shot",32,8
"509",20,"Fadeaway Jump Shot",40,20
"510",20,"Floating Jump shot",7,3
"511",20,"Jump Bank Shot",18,9
"512",20,"Jump Shot",4296,1537
"513",20,"Pullup Bank shot",3,2
"514",20,"Pullup Jump shot",420,251
"515",20,"Running Bank shot",1,1
"516",20,"Running Jump Shot",4,1
"517",20,"Step Back Jump shot",174,80
"518",20,"Turnaround Fadeaway shot",11,5
"519",20,"Turnaround Jump Shot",12,5
"520",21,"Driving Jump shot",1,1
"521",21,"Fadeaway Jump Shot",33,18
"522",21,"Floating Jump shot",7,1
"523",21,"Jump Bank Shot",6,6
"524",21,"Jump Hook Shot",1,1
"525",21,"Jump Shot",2444,877
"526",21,"Pullup Bank shot",1,0
"527",21,"Pullup Jump shot",221,120
"528",21,"Running Jump Shot",4,1
"529",21,"Step Back Jump shot",107,49
"530",21,"Turnaround Fadeaway shot",5,2
"531",21,"Turnaround Jump Shot",11,5
"532",22,"Fadeaway Jump Shot",12,8
"533",22,"Floating Jump shot",3,0
"534",22,"Jump Bank Shot",14,9
"535",22,"Jump Shot",4429,1691
"536",22,"Pullup Jump shot",131,66
"537",22,"Running Hook Shot",1,1
"538",22,"Running Jump Shot",3,1
"539",22,"Step Back Jump shot",67,30
"540",22,"Turnaround Fadeaway shot",1,0
"541",22,"Turnaround Jump Shot",6,3
"542",23,"Fadeaway Jump Shot",13,3
"543",23,"Floating Jump shot",3,0
"544",23,"Jump Bank Shot",12,6
"545",23,"Jump Shot",8232,3127
"546",23,"Pullup Jump shot",189,117
"547",23,"Running Jump Shot",1,0
"548",23,"Step Back Jump shot",98,52
"549",23,"Turnaround Fadeaway shot",2,0
"550",23,"Turnaround Jump Shot",4,2
"551",24,"Driving Jump shot",1,1
"552",24,"Fadeaway Jump Shot",11,7
"553",24,"Floating Jump shot",8,4
"554",24,"Jump Bank Shot",25,17
"555",24,"Jump Shot",13881,4856
"556",24,"Layup Shot",1,0
"557",24,"Pullup Jump shot",433,235
"558",24,"Running Bank shot",2,1
"559",24,"Running Jump Shot",8,4
"560",24,"Step Back Jump shot",184,80
"561",24,"Tip Shot",1,0
"562",24,"Turnaround Fadeaway shot",3,0
"563",24,"Turnaround Jump Shot",6,4
"564",25,"Fadeaway Bank shot",1,1
"565",25,"Fadeaway Jump Shot",17,6
"566",25,"Floating Jump shot",1,0
"567",25,"Jump Bank Shot",33,20
"568",25,"Jump Shot",14192,4846
"569",25,"Pullup Bank shot",3,1
